date,cpi,gas_price,hourly_wage,year,month,month_name,cpi_yoy_pct,gas_yoy_pct,wage_yoy_pct,real_wage,real_wage_index
1992-07-01,140.5,1.1364999999999998,10.78,1992,7,July,3.1571218795888534,3.733114275282934,2.2770398481973375,7.672597864768684,98.60487099644129
1992-08-01,140.8,1.1218,10.81,1992,8,August,3.0746705710102518,0.6324287956940733,2.367424242424243,7.6775568181818175,98.66860129616477
1992-09-01,141.1,1.1215000000000002,10.83,1992,9,September,2.9927007299270114,1.1089073205914346,2.3629489603024467,7.675407512402551,98.64097935861092
1992-10-01,141.7,1.1139999999999999,10.85,1992,10,October,3.279883381924198,2.3897058823529216,2.455146364494798,7.657021877205364,98.40469521877205
1992-11-01,142.1,1.1112000000000002,10.86,1992,11,November,3.1204644412191396,1.110100090991839,2.3562676720075393,7.642505277973258,98.2181342364532
1992-12-01,142.3,1.0775000000000001,10.9,1992,12,December,2.966714905933454,0.12079539119123073,2.443609022556381,7.659873506676036,98.44134311314124
1993-01-01,142.8,1.06175,10.93,1993,1,January,3.2537960954446943,3.8894324853228968,2.725563909774431,7.654061624649859,98.3666513480392
1993-02-01,143.1,1.05425,10.95,1993,2,February,3.2467532467532534,4.796222664015892,2.72045028142589,7.651991614255765,98.34004848008385
1993-03-01,143.3,1.0522,10.99,1993,3,March,3.0194104960460155,3.910724866679849,2.9026217228464546,7.669225401256105,98.5615295708304
1993-04-01,143.8,1.078,10.99,1993,4,April,3.1563845050215145,2.4958402662229817,2.518656716417911,7.642559109874826,98.21882606050069
1993-05-01,144.2,1.1004,11.01,1993,5,May,3.2211882605583497,-0.6186498080830938,2.5139664804469275,7.635228848821082,98.12462075242719
1993-06-01,144.3,1.09725,11.03,1993,6,June,2.9978586723768963,-4.153563941299787,2.41411327762302,7.643797643797642,98.23474315661814
1993-07-01,144.5,1.07775,11.05,1993,7,July,2.8469750889679624,-5.169379674439057,2.504638218923949,7.647058823529412,98.27665441176471
1993-08-01,144.8,1.0615999999999999,11.07,1993,8,August,2.840909090909083,-5.366375467997864,2.4051803885291267,7.6450276243093915,98.25055032803867
1993-09-01,145.0,1.0494999999999999,11.09,1993,9,September,2.7639971651311157,-6.419973250111477,2.4007386888273308,7.6482758620689655,98.29229525862068
1993-10-01,145.6,1.09175,11.13,1993,10,October,2.752293577981657,-1.9973070017953232,2.580645161290329,7.64423076923077,98.2403094951923
1993-11-01,146.0,1.0664,11.15,1993,11,November,2.7445460942997935,-4.031677465802752,2.6703499079189674,7.636986301369864,98.14720676369863
1993-12-01,146.3,1.014,11.18,1993,12,December,2.8109627547435068,-5.893271461716942,2.5688073394495303,7.641831852358168,98.20947966507177
1994-01-01,146.3,0.9984,11.2,1994,1,January,2.450980392156854,-5.9665646338591944,2.4702653247941297,7.655502392344496,98.38516746411482
1994-02-01,146.7,1.009,11.25,1994,2,February,2.515723270440251,-4.292150818117147,2.7397260273972712,7.668711656441718,98.55492714723927
1994-03-01,147.1,1.00775,11.25,1994,3,March,2.6517794836008246,-4.224482037635435,2.3657870791628843,7.647858599592114,98.28693278382052
1994-04-01,147.2,1.02725,11.27,1994,4,April,2.364394993045882,-4.707792207792217,2.547770700636942,7.656250000000001,98.39477539062501
1994-05-01,147.5,1.0474,11.29,1994,5,May,2.288488210818307,-4.816430388949467,2.5431425976385036,7.654237288135593,98.36890889830508
1994-06-01,147.9,1.0779999999999998,11.31,1994,6,June,2.494802494802495,-1.7543859649122973,2.538531278331835,7.647058823529412,98.27665441176471
1994-07-01,148.4,1.10575,11.34,1994,7,July,2.69896193771626,2.598005103224321,2.624434389140262,7.641509433962264,98.20533608490565
1994-08-01,149.0,1.1548,11.36,1994,8,August,2.900552486187835,8.779201205727215,2.619692863595291,7.624161073825503,97.98238255033557
