date,cpi,gas_price,hourly_wage,year,month,month_name
2019-02-01,253.319,2.30925,23.19,2019,2,February
2019-03-01,254.277,2.516,23.29,2019,3,March
2019-04-01,255.233,2.7984,23.33,2019,4,April
2019-05-01,255.296,2.85925,23.4,2019,5,May
2019-06-01,255.213,2.71575,23.48,2019,6,June
2019-07-01,255.802,2.7399999999999998,23.53,2019,7,July
2019-08-01,256.036,2.621,23.61,2019,8,August
2019-09-01,256.43,2.5922,23.68,2019,9,September
2019-10-01,257.155,2.627,23.75,2019,10,October
2019-11-01,257.879,2.59775,23.83,2019,11,November
2019-12-01,258.63,2.555,23.85,2019,12,December
2020-01-01,259.127,2.5477499999999997,23.91,2020,1,January
2020-02-01,259.25,2.442,24.03,2020,2,February
2020-03-01,258.076,2.2342,24.12,2020,3,March
2020-04-01,256.032,1.8405,25.14,2020,4,April
2020-05-01,255.802,1.8695,24.98,2020,5,May
2020-06-01,257.042,2.0822,24.78,2020,6,June
2020-07-01,258.352,2.18325,24.69,2020,7,July
2020-08-01,259.316,2.1824,24.8,2020,8,August
2020-09-01,259.997,2.18275,24.82,2020,9,September
2020-10-01,260.319,2.158,24.84,2020,10,October
2020-11-01,260.911,2.1082,24.94,2020,11,November
2020-12-01,262.045,2.19525,25.16,2020,12,December
2021-01-01,262.687,2.33425,25.16,2021,1,January
2021-02-01,263.579,2.501,25.25,2021,2,February
2021-03-01,264.961,2.8104,25.33,2021,3,March
2021-04-01,266.614,2.85825,25.52,2021,4,April
2021-05-01,268.383,2.9852,25.68,2021,5,May
2021-06-01,270.654,3.06375,25.82,2021,6,June
2021-07-01,271.903,3.136,25.97,2021,7,July
2021-08-01,272.676,3.1578,26.12,2021,8,August
2021-09-01,273.91,3.175,26.3,2021,9,September
2021-10-01,276.55,3.2904999999999998,26.45,2021,10,October
2021-11-01,278.919,3.3948,26.56,2021,11,November
2021-12-01,280.845,3.3064999999999998,26.76,2021,12,December
2022-01-01,282.543,3.3146,26.91,2022,1,January
2022-02-01,284.5,3.5172499999999998,26.97,2022,2,February
2022-03-01,287.674,4.22175,27.1,2022,3,March
2022-04-01,288.561,4.1085,27.28,2022,4,April
2022-05-01,291.298,4.4436,27.4,2022,5,May
2022-06-01,294.957,4.929,27.52,2022,6,June
2022-07-01,294.913,4.5592500000000005,27.66,2022,7,July
2022-08-01,295.097,3.975,27.75,2022,8,August
2022-09-01,296.349,3.70025,27.87,2022,9,September
2022-10-01,298.007,3.8152,27.99,2022,10,October
2022-11-01,298.786,3.685,28.11,2022,11,November
2022-12-01,298.832,3.21,28.22,2022,12,December
2023-01-01,300.42,3.3391999999999995,28.31,2023,1,January
2023-02-01,301.45,3.38875,28.42,2023,2,February
2023-03-01,301.821,3.4219999999999997,28.56,2023,3,March
2023-04-01,302.845,3.6029999999999998,28.7,2023,4,April
2023-05-01,303.334,3.5548,28.78,2023,5,May
2023-06-01,304.014,3.571,28.89,2023,6,June
2023-07-01,304.609,3.597,29.01,2023,7,July
2023-08-01,306.082,3.83975,29.06,2023,8,August
2023-09-01,307.276,3.8360000000000003,29.18,2023,9,September
2023-10-01,307.696,3.6128,29.26,2023,10,October
2023-11-01,308.148,3.318,29.37,2023,11,November
2023-12-01,308.741,3.134,29.47,2023,12,December
2024-01-01,309.698,3.0753999999999997,29.61,2024,1,January
2024-02-01,310.967,3.2115,29.66,2024,2,February
2024-03-01,312.345,3.4255,29.78,2024,3,March
2024-04-01,313.023,3.6114000000000006,29.85,2024,4,April
2024-05-01,313.175,3.6029999999999998,29.97,2024,5,May
2024-06-01,313.044,3.4545,30.07,2024,6,June
2024-07-01,313.569,3.4838,30.16,2024,7,July
2024-08-01,314.062,3.38925,30.27,2024,8,August
2024-09-01,314.732,3.2138,30.39,2024,9,September
2024-10-01,315.631,3.137,30.48,2024,10,October
2024-11-01,316.528,3.05275,30.56,2024,11,November
2024-12-01,317.604,3.0176,30.66,2024,12,December
2025-01-01,318.961,3.0755,30.79,2025,1,January
2025-02-01,319.679,3.12075,30.89,2025,2,February
2025-03-01,319.785,3.0964,31.02,2025,3,March
2025-04-01,320.302,3.17125,31.09,2025,4,April
2025-05-01,320.62,3.15,31.2,2025,5,May
2025-06-01,321.435,3.1502,31.31,2025,6,June
2025-07-01,322.169,3.12475,31.39,2025,7,July
2025-08-01,323.291,3.1325,31.49,2025,8,August
2025-09-01,324.245,3.1656,31.56,2025,9,September
2025-10-01,,3.05975,31.7,2025,10,October
2025-11-01,325.063,3.0495,31.79,2025,11,November
2025-12-01,326.031,2.8944,31.83,2025,12,December
2026-01-01,326.588,2.8085,31.94,2026,1,January
2026-02-01,327.46,2.9074999999999998,32.02,2026,2,February
2026-03-01,330.293,3.6376,32.07,2026,3,March
